arm,treatment,tp,fn,tn,fp,dropped_flagged,dropped_error_or_missing,sensitivity,specificity,balanced_accuracy,sensitivity_ci95,specificity_ci95
A,include,7,0,5,74,0,0,1.0,0.0633,0.5316,"(0.6457, 1.0)","(0.0273, 0.1398)"
A,exclude,2,5,77,2,0,0,0.2857,0.9747,0.6302,"(0.0822, 0.6411)","(0.9123, 0.993)"
A,dropped,2,0,5,2,77,0,1.0,0.7143,0.8571,"(0.3424, 1.0)","(0.3589, 0.9178)"
B,include,3,4,43,36,0,0,0.4286,0.5443,0.4864,"(0.1582, 0.7495)","(0.435, 0.6495)"
B,exclude,1,6,79,0,0,0,0.1429,1.0,0.5714,"(0.0257, 0.5131)","(0.9536, 1.0)"
B,dropped,1,4,43,0,38,0,0.2,1.0,0.6,"(0.0362, 0.6245)","(0.918, 1.0)"
D,include,3,4,44,35,0,0,0.4286,0.557,0.4928,"(0.1582, 0.7495)","(0.4473, 0.6613)"
D,exclude,0,7,79,0,0,0,0.0,1.0,0.5,"(0.0, 0.3543)","(0.9536, 1.0)"
D,dropped,0,4,44,0,38,0,0.0,1.0,0.5,"(0.0, 0.4899)","(0.9197, 1.0)"
