arm,treatment,tp,fn,tn,fp,dropped_flagged,dropped_error_or_missing,sensitivity,specificity,balanced_accuracy,sensitivity_ci95,specificity_ci95
A,include,10,0,5,71,0,0,1.0,0.0658,0.5329,"(0.7225, 1.0)","(0.0284, 0.1449)"
A,exclude,3,7,75,1,0,0,0.3,0.9868,0.6434,"(0.1078, 0.6032)","(0.9292, 0.9977)"
A,dropped,3,0,5,1,77,0,1.0,0.8333,0.9167,"(0.4385, 1.0)","(0.4365, 0.9699)"
B,include,3,7,40,36,0,0,0.3,0.5263,0.4132,"(0.1078, 0.6032)","(0.4155, 0.6346)"
B,exclude,1,9,76,0,0,0,0.1,1.0,0.55,"(0.0179, 0.4042)","(0.9519, 1.0)"
B,dropped,1,7,40,0,38,0,0.125,1.0,0.5625,"(0.0224, 0.4709)","(0.9124, 1.0)"
C,include,1,9,40,36,0,0,0.1,0.5263,0.3132,"(0.0179, 0.4042)","(0.4155, 0.6346)"
C,exclude,0,10,76,0,0,0,0.0,1.0,0.5,"(0.0, 0.2775)","(0.9519, 1.0)"
C,dropped,0,9,40,0,37,0,0.0,1.0,0.5,"(0.0, 0.2992)","(0.9124, 1.0)"
